"SUBURB","NO.OF.ACCIDENTS","NO.OF.BICYCLISTS","NO.OF.PED","NO.OF.VEHICLES","cluster"
"TECOMA",3,3,0,6,3
"BALNARRING",2,2,0,4,3
"HUGHESDALE",7,8,0,15,9
"BURNSIDE HEIGHTS",1,1,0,2,3
"COOLAROO",2,2,0,3,3
"MAIN RIDGE",2,3,0,5,3
"BURNSIDE",1,1,0,2,3
"DEANSIDE",2,2,0,4,3
"BULLA",3,3,0,5,3
"TOOLERN VALE",1,1,0,2,3
"DOVETON",6,6,0,12,9
"SOMERTON",1,1,0,2,3
"OAKLANDS JUNCTION",2,2,0,4,3
"WARRANDYTE",5,5,0,11,9
"DERRIMUT",4,4,0,8,9
"SEABROOK",4,4,0,8,9
"MOORABBIN AIRPORT",2,2,0,4,3
"CAMBARVILLE",2,2,0,4,3
"BOX HILL",9,9,0,18,8
"MOUNT EVELYN",4,4,0,6,9
"HEIDELBERG HEIGHTS",2,2,0,4,3
"STRATHMORE HEIGHTS",1,1,0,2,3
"BELGRAVE",3,3,0,6,3
"MELBOURNE AIRPORT",3,3,0,6,3
"BADGER CREEK",1,1,0,2,3
"COLDSTREAM",1,1,0,2,3
"WARRANWOOD",1,1,0,2,3
"BLACKBURN SOUTH",4,4,1,7,5
"BITTERN",3,3,0,6,3
"LALOR",4,4,0,8,9
"MOOROOLBARK",3,3,0,6,3
"YARRAMBAT",1,1,0,2,3
"NORTH WARRANDYTE",2,2,0,4,3
"BANGHOLME",1,1,0,2,3
"ARTHURS CREEK",1,3,0,3,3
"ST HELENA",1,1,0,2,3
"KURUNJANG",1,1,0,2,3
"EMERALD",1,1,0,1,3
"NOBLE PARK NORTH",3,3,0,6,3
"CARDINIA",1,1,0,2,3
"CHIRNSIDE PARK",1,1,0,2,3
"HAMPTON EAST",5,5,0,10,9
"ARDEER",2,2,0,3,3
"NARRE WARREN NORTH",2,2,0,4,3
"BAXTER",2,2,0,4,3
"CORA LYNN",1,2,0,2,3
"MACLEOD",1,1,0,2,3
