SUBURB,NO OF ACCIDENTS,NO OF BICYCLISTS,NO OF PED,NO OF VEHICLES
TREMONT,4,4,0,8
TRUGANINA,5,5,0,8
UPPER FERNTREE GULLY,1,1,0,2
RESEARCH,4,4,0,7
HEIDELBERG WEST,9,9,0,18
EUMEMMERRING,1,1,0,2
ALBANVALE,2,2,0,3
PORTSEA,6,7,0,12
SUNSHINE WEST,6,6,0,12
KILSYTH,3,3,0,6
SCORESBY,1,1,0,2
THE BASIN,9,9,0,17
HUNTINGDALE,3,3,0,6
EYNESBURY,1,1,0,2
FOREST HILL,5,5,0,10
CALDER PARK,1,1,0,2
CAIRNLEA,2,2,0,4
MOOROODUC,2,2,0,4
CRANBOURNE,14,14,0,28
WYNDHAM VALE,4,4,0,8
COBBLEBANK,1,1,0,2
KINGS PARK,2,2,0,4
FERNTREE GULLY,7,7,0,13
FRANKSTON NORTH,4,4,0,8
RAVENHALL,1,1,0,2
LAVERTON NORTH,6,6,0,12
ST ANDREWS,3,3,0,3
TAYLORS HILL,2,2,0,4
YALLAMBIE,3,3,0,6
WANTIRNA,3,3,0,5
SKYE,2,2,0,4
RINGWOOD NORTH,1,1,0,2
LOWER PLENTY,4,5,0,9
JACANA,1,1,0,2
COCOROC,1,1,0,2
DONCASTER,7,9,0,16
MELTON SOUTH,1,1,0,2
CRANBOURNE EAST,1,1,0,2
MANOR LAKES,1,1,0,2
GLADSTONE PARK,4,4,0,7
WOODSTOCK,1,1,0,2
MONT ALBERT,9,9,0,15
EAGLEMONT,3,3,0,6
CROYDON SOUTH,2,2,0,4
CRANBOURNE WEST,1,1,0,2
SYDENHAM,2,2,0,4
WATTLE GLEN,1,1,0,2
TECOMA,3,3,0,6
BALNARRING,2,2,0,4
HUGHESDALE,7,8,0,15
BURNSIDE HEIGHTS,1,1,0,2
COOLAROO,2,2,0,3
MAIN RIDGE,2,3,0,5
BURNSIDE,1,1,0,2
DEANSIDE,2,2,0,4
BULLA,3,3,0,5
TOOLERN VALE,1,1,0,2
DOVETON,6,6,0,12
SOMERTON,1,1,0,2
OAKLANDS JUNCTION,2,2,0,4
WARRANDYTE,5,5,0,11
DERRIMUT,4,4,0,8
SEABROOK,4,4,0,8
MOORABBIN AIRPORT,2,2,0,4
CAMBARVILLE,2,2,0,4
BOX HILL,9,9,0,18
MOUNT EVELYN,4,4,0,6
HEIDELBERG HEIGHTS,2,2,0,4
STRATHMORE HEIGHTS,1,1,0,2
BELGRAVE,3,3,0,6
MELBOURNE AIRPORT,3,3,0,6
